Investment Banking Name,Country
Evanston Capital Advisors,Romania
Oxygen Finance SRL,Romania
Credit-Moscow Bank,Russia
OOO CentreInvest Securities,Russia
VTB Capital PLC,Russia
"ITHRAA Capital, Research Division",Saudi-Arabia
Maceen Capital,Saudi-Arabia
SEECAP d.o.o.,Serbia
Synergy Capital AD Beograd,Serbia
AddVenture Advisers,Singapore
Amba Investment Services Limited,Singapore
"DNB Bank ASA, Singapore Branch",Singapore
Sentosa Capital Advisors Pte. Ltd.,Singapore
TC Capital Pte Ltd,Singapore
The Islamic Bank of Asia Limited,Singapore
Tyesun Capital Pte. Ltd.,Singapore
"SLAVIA CAPITAL Group, a.s",Slovakia
"Abanka Vipa, d.d.",Slovenia
KD Banka d.d.,Slovenia
AMB Holdings Ltd.,South-Africa
Arcay Communications Holdings (Pty) Limited,South-Africa
"Athena Capital (Pty) Ltd, Advisory Arm",South-Africa
BnP Capital (Pty) Limited,South-Africa
Grindrod Bank Limited,South-Africa
J&J Financial Services (Pty) Ltd,South-Africa
Java Capital (Proprietary) Limited,South-Africa
Nedbank Limited,South-Africa
Rand Merchant Bank,South-Africa
RMB Private Equity Debt,South-Africa
Sasfin Bank Limited,South-Africa
The Clade Group,South-Africa
Valbridge Trust,South-Africa
Webber Wentzel,South-Africa
Korea Development Bank,South-Korea
"Korea Venture Investment Corp., Research Division",South-Korea
"Richmond Asset Management Co., Ltd.",South-Korea
Albia Capital Partners,Spain
Allen & Overy Spain,Spain
Broggini Consulting Services S.L.,Spain
GB Corporate Finance,Spain
Grupo Financiero Riva y Garcia SL,Spain
"M&B Capital Advisers, Sociedad de Valores, S.A.",Spain
N+1 Group,Spain
Next Corporate S.L.,Spain
Advokatfirman Vinge KB,Sweden
Arctos Mergers & Acquisitions AB,Sweden
Avantus Corporate Finance,Sweden
Capacent AB,Sweden
Hamilton & Co.,Sweden
I Executive Search AB,Sweden
Neuman & Nydahl HB,Sweden
Novare Compensation AB,Sweden
Procure It Right AB,Sweden
YellowTree Advisors AB,Sweden
adbodmer ag,Switzerland
API Invest & Finanz AG,Switzerland
Banque Heritage S.A.,Switzerland
COGEF Geneva,Switzerland
Corestar Partners GmbH,Switzerland
Cr ©dit Agricole (Suisse) SA,Switzerland
Groupe LCF Rothschild,Switzerland
Helarb Management S.A.,Switzerland
Moravia Capital AG,Switzerland
N+1 Swiss Capital,Switzerland
Rinderknecht Klein & Stadelhofer,Switzerland
Schellenberg Wittmer,Switzerland
SG Private Banking (Suisse) S.A.,Switzerland
Sherbrooke Equity AG,Switzerland
Sirius Healthcare Partners GmbH,Switzerland
Suntura Capital,Switzerland
Swiss Capital Wealth Management AG,Switzerland
The Corporate Finance Group AG,Switzerland
The Real Economy Effect GmbH,Switzerland
Valartis Bank AG,Switzerland
ValleyRoad Capital SA,Switzerland
"Capital Securities Corporation, Research Division",Taiwan
China Development Industrial Bank,Taiwan
Akhair Capital Menkul Degerler A.S.,Turkey
Crossborder Corporate Consultancy Ltd.,Turkey
EGM Finansal Danismanlik A.S.,Turkey
PRAGMA Corporate Finance,Turkey
Teknort,Turkey
Tekstil Yatirim Menkul Degerler AS,Turkey
Yatirim Finansman Menkul Degerler A.S.,Turkey
Astrum Investment Management,Ukraine
Aval Brok Financial Group,Ukraine
ITT-Invest PrJSC,Ukraine
Alpen Capital (ME) Limited,United-Arab-Emirates
Armalia Partners Limited,United-Arab-Emirates
"Boston BioCapital FZ, LLC",United-Arab-Emirates
CFM International Limited,United-Arab-Emirates
Emirates NBD Capital Limited,United-Arab-Emirates
"Grace Century, FZ LLC",United-Arab-Emirates
Isthmus Partners FZC,United-Arab-Emirates
Markab Advisory,United-Arab-Emirates
Quantum Investment Bank Limited,United-Arab-Emirates
The Boston Consulting Group,United-Arab-Emirates
YUSR Islamic Investment Bank (DIFC) Ltd.,United-Arab-Emirates
Acanthus Advisers LLP,United-Kingdom
Agg Jones Search and Selection Limited,United-Kingdom
Akira Partners LLP,United-Kingdom
Akur Limited,United-Kingdom
Almeida Capital Limited,United-Kingdom
AlphaSights Ltd,United-Kingdom
Alternative Assets Division,United-Kingdom
Altius Associates Limited,United-Kingdom
Aon Mergers and Acquisitions Group,United-Kingdom
Arthur D. Little Limited,United-Kingdom
Asante Capital Group LLP,United-Kingdom
Ashton Penney Holdings PLC,United-Kingdom
Assured Recruitment Solutions Ltd.,United-Kingdom
Augentius Fund Administration LLP,United-Kingdom
Augusta & Co. plc,United-Kingdom
Barchester Group Limited,United-Kingdom
Barnellan Equity Advice Ltd,United-Kingdom
Beaufort Securities Limited,United-Kingdom
BIE Group Ltd.,United-Kingdom
Bircham Dyson Bell LLP,United-Kingdom
Blue Glue Limited,United-Kingdom
Boxwood Ltd.,United-Kingdom
Calibre One Ltd.,United-Kingdom
Canaccord Genuity Hawkpoint Limited,United-Kingdom
Candela Capital Limited,United-Kingdom
Capital Strategy Corporate Finance Limited,United-Kingdom
Castle Harbour Securities LLP,United-Kingdom
Celerant Consulting Limited,United-Kingdom
CF Partners (UK) LLP,United-Kingdom
Chartis Research,United-Kingdom
Citigate Dewe Rogerson Ltd,United-Kingdom
City Capital Corporation Limited,United-Kingdom
"City Capital Corporation Limited, Research Division",United-Kingdom
Collins Stewart Hawkpoint Limited,United-Kingdom
Compass Venture Management Ltd.,United-Kingdom
Credit Suisse International,United-Kingdom
Credo Business Consulting LLP,United-Kingdom
CRISIL Irevna UK Limited,United-Kingdom
"Crystal Partners & Co., LLP",United-Kingdom
Curtis Murray International Executive Search,United-Kingdom
Cygnus Capital Partners Limited,United-Kingdom
Devonshire Group Plc,United-Kingdom
Diamond Management & Technology Consultants Ltd.,United-Kingdom
Directorbank Executive Search Ltd.,United-Kingdom
Edinburgh Financial & General Holdings Limited,United-Kingdom
Elara Capital Plc,United-Kingdom
Equity Development Limited,United-Kingdom
Ernst & Young Ltd.,United-Kingdom
Euromax Capital Limited,United-Kingdom
Europa Partners Limited,United-Kingdom
Eversheds LLP,United-Kingdom
Excellion Advisors LLP,United-Kingdom
Farncombe Consulting Group Limited,United-Kingdom
Freshfields Bruckhaus Deringer LLP,United-Kingdom
FTI Consulting Group Limited,United-Kingdom
GA Europe Valuations Limited,United-Kingdom
George James Ltd.,United-Kingdom
Global Leisure Partners LLP,United-Kingdom
GMP Securities Europe LLP,United-Kingdom
Grafton Securities Ltd.,United-Kingdom
Grove Industries Limited,United-Kingdom
Hamilton Hotel Partners Ltd,United-Kingdom
Harvey Ingram Borneos,United-Kingdom
Helix Associates Limited,United-Kingdom
Hexagon Human Capital PLC,United-Kingdom
Hitchenor Wakeford Limited,United-Kingdom
Human-Equity Ltd.,United-Kingdom
"Incrementum Capital Partners, LLP",United-Kingdom
Ingenious Corporate Finance Limited,United-Kingdom
International Private Equity Limited,United-Kingdom
Itau BBA International plc,United-Kingdom
Jasper Capital Limited,United-Kingdom
Kemp Little LLP,United-Kingdom
Kirkpatrick Executive Search & Selection,United-Kingdom
KPMG Corporate Finance LLP,United-Kingdom
L.E.K. Consulting,United-Kingdom
Langham Hall UK LLP,United-Kingdom
Libertas Capital Group plc,United-Kingdom
Lloyds Bank Corporate Markets,United-Kingdom
Lloyds Bank plc,United-Kingdom
London Court Limited,United-Kingdom
Megabuyte,United-Kingdom
Merchant House Group PLC,United-Kingdom
Merchant Securities Group plc,United-Kingdom
Mergermarket Limited,United-Kingdom
MG Equity Partners Ltd.,United-Kingdom
MJ Hudson LLP,United-Kingdom
Montrose Global LLP,United-Kingdom
MVision Private Equity Advisers Limited,United-Kingdom
Nellen,United-Kingdom
New World Corporate Finance Limited,United-Kingdom
Nomura International plc,United-Kingdom
Numis Securities Limited,United-Kingdom
Oakley Capital Limited,United-Kingdom
OC&C Strategy Consultants Limited,United-Kingdom
Odgers Berndtson,United-Kingdom
Opus Corporate Finance LLP,United-Kingdom
Oxcap Advisors Ltd.,United-Kingdom
Palomar Private Equity LLP,United-Kingdom
Payne Hicks Beach,United-Kingdom
Penningtons Manches LLP,United-Kingdom
Plural Strategy Group,United-Kingdom
PricewaterhouseCoopers Transaction Services United Kingdom,United-Kingdom
Principal Search Limited,United-Kingdom
Promethean plc,United-Kingdom
Quayle Munro Holdings Limited,United-Kingdom
Ragnar Capital Ltd,United-Kingdom
Redgrave Partners LLP,United-Kingdom
ReputationInc Ltd,United-Kingdom
Riversby Limited,United-Kingdom
Rowan Recruitment Ltd,United-Kingdom
"Sainty, Hird & Partners Limited",United-Kingdom
