Investment Banking Name,Country
FCMI Financial Corp.,Canada
"FGT Consultants in Management, Education and Technology Inc.",Canada
Finder Expert Inc.,Canada
Fin-XO Securities Inc.,Canada
First Structured Notes Corporation,Canada
Fortin Gaignard Groupe Conseil Inc.,Canada
Fortrus Financial Inc.,Canada
"Friedberg Mercantile Group, Ltd.",Canada
FTM Synergis Capital Inc.,Canada
Fusion Recruitment Group Ltd.,Canada
G ©oLab inc.,Canada
Genbridge Family Offices Inc.,Canada
"Global Corporate Compliance, Inc.",Canada
Global Securities Corporation,Canada
GlobeScan Incorporated,Canada
"GMP Securities L.P., Research Division",Canada
Goulet Bowker & Associates Inc.,Canada
Granite Associates Ltd.,Canada
Granite Tower Capital,Canada
Greenrock Capital Partners Inc.,Canada
Groupe Investissement Responsable Inc.,Canada
Gulfstrategic Incorporated,Canada
Haley & Associates Inc.,Canada
HAMMER Capital Partners Inc.,Canada
Highland Park Financial Inc.,Canada
HKDP Communications and Public Affairs,Canada
Hybrid Financial Ltd.,Canada
"i3 Capital Partners, Inc.",Canada
IBK Capital Corp.,Canada
Ideacia ONE Inc.,Canada
"iForum Financial Network, Inc.",Canada
IIC Partners,Canada
Independent Planning Group Inc.,Canada
Independent Review Inc.,Canada
Industrial Alliance Securities Inc.,Canada
Integral Wealth Securities Limited,Canada
Intercapital Canada Inc.,Canada
Intrepid Equity Finance Ltd.,Canada
Investment Planning Counsel Inc.,Canada
Investor Economics Inc.,Canada
ITG Investment Research ULC.,Canada
Kingsdale Capital Markets Inc.,Canada
KLR Consulting Inc.,Canada
KOZO Enterprises Inc.,Canada
Kyro Capital,Canada
Lambridge Capital Partners Inc.,Canada
"Laurentian Bank Securities, Inc., Research Division",Canada
Lemay+DAA,Canada
Leong & Associates Actuaries And Consultants Inc.,Canada
Lockwood Financial Ltd.,Canada
Loewen Ondaatje McCutcheon Limited,Canada
LPS Aviation Inc.,Canada
Lute & Company,Canada
Macquarie Capital Markets Canada Ltd.,Canada
"Macquarie Capital Markets Canada Ltd., Research Division",Canada
Maple Securities Canada Limited,Canada
Maxi-Concept JLP Inc.,Canada
MB Consulting Inc.,Canada
Merchant Capital Wealth Management Corp.,Canada
Micon International Limited,Canada
Midland Baring Financial Group Inc.,Canada
Milton Capital Partners Limited,Canada
ModelCom Inc.,Canada
MoneyMinding International Corporation,Canada
Nordicity Group Ltd.,Canada
NorthLink Capital Advisors,Canada
Odlum Brown Financial Services Limited,Canada
On Common Ground Consultants Inc.,Canada
ONE Signature Financial Corp.,Canada
Ontario Electricity Financial Corporation,Canada
Orchango,Canada
ORTECH Consulting Inc.,Canada
Paladin CMS,Canada
Partners in Planning Financial Group Ltd.,Canada
"Partners In Planning Financial Services, Ltd.",Canada
Pavilion Advisory Group Ltd.,Canada
Pavilion Global Markets Ltd.,Canada
PEAK Securities Inc.,Canada
Performance Capital Advisors Inc,Canada
Perimeter Markets Inc.,Canada
Phoenix Capital Partners Inc.,Canada
"PI Financial Corp., Research Division",Canada
PowerOne Capital Markets Limited,Canada
Presidents of Enterprising Organization Inc.,Canada
Progestic International Inc.,Canada
Prospero Learning Solutions Inc.,Canada
Qtrade Financial Group,Canada
Quadrant Resources Corp.,Canada
R & D Asset Management Ltd.,Canada
Range Corporate Advisors,Canada
"RBC Capital Markets, LLC, Research Division",Canada
RCI Capital Group Inc.,Canada
Recovery Partners Limited,Canada
Red Cloud Mining Capital,Canada
Redwood Global Inc.,Canada
Renergex Inc.,Canada
Resolve Corporation,Canada
Retirement Option Group,Canada
RLG International Inc.,Canada
Roche Securities Ltd.,Canada
"Rogerscasey Canada, Inc.",Canada
S2 Management Inc.,Canada
SECOR Conseil Inc.,Canada
SECOR-TAKTIK,Canada
"Signum Corporate Services, Inc.",Canada
Simara Capital Inc.,Canada
SK Shasta Acquisition Corp. 1,Canada
SK Shasta Acquisition Corp. 3,Canada
SK Shasta Acquisition Corp. 4,Canada
SNL Metals & Mining,Canada
Soci ©t © G ©n ©rale Capital Canada Inc.,Canada
Solutions Research Group Consultants Inc.,Canada
Spire Sharwood Financial Inc.,Canada
SPMG Pricing Inc.,Canada
Spring Management Consulting Inc.,Canada
SR&ED ONE Inc.,Canada
State Street Trust Company Canada,Canada
Stonecroft + Partners Inc.,Canada
Stonewood Group Inc.,Canada
Stormont Energy Advisors Corp.,Canada
StrategyCorp Inc.,Canada
"Strateva Partners, Inc.",Canada
Summa Strategies Canada Inc.,Canada
Surje & Company Inc.,Canada
Sussex Strategy Group,Canada
Synergy Family Office & Private Wealth Management Inc.,Canada
T.E.S. Contract Services Inc.,Canada
TD Securities Equity Research,Canada
TELUS Security Labs,Canada
Tenth Power Inc.,Canada
The Capital Lab Inc.,Canada
The Delphi Corporation,Canada
The Osborne Group,Canada
The People Bank,Canada
The Strategic Coach Inc.,Canada
Travelex Canada Limited,Canada
Traverse Financial Corporation,Canada
Troy Valuations Inc.,Canada
Ubika Research,Canada
Union Securities Ltd.,Canada
VCI Vencorp Capital Inc.,Canada
Vision Quest Energy Group Inc,Canada
Western Management Consultants,Canada
Westmark Consulting LLP,Canada
Whitehorn Merchant Capital Inc.,Canada
Worldsource Wealth Management Inc.,Canada
XN Alternative Risk,Canada
XPS Group Inc.,Canada
Banco Safra (Cayman Islands) Limited,Cayman-Islands
International Financial Group Inc CAyman Islands,Cayman-Islands
Banco del Estado de Chile,Chile
Banco Paris,Chile
Banco Ripley,Chile
BTG Pactual Chile S.A. Corredores de Bolsa,Chile
Empresas Juan Yarur S.A.C.,Chile
Genesis Consulting & Capital S.A.,Chile
HSBC Bank Chile,Chile
IGT Consulting,Chile
LarrainVial S.A.,Chile
LQ Inversiones Financieras S.A.,Chile
Principal Compania de Seguros de Vida Chile S.A.,Chile
"ALC Advisors, Inc.",China
"ARC China, Advisory Arm",China
"Bank of Jilin Co.,Ltd.",China
BDA China Ltd.,China
"Beijing Surfways Wealth Advisory Co., Ltd",China
"Bo Le Associates, Ltd.",China
"Business Connect China, Inc.",China
"Caitong Securities Co., Ltd.",China
"Central China Securities Holdings Co., Ltd., Research Division",China
China Development Bank Corporation,China
"China Dragon Securities Co., Ltd., Research Division",China
"China Galaxy Securities Co., Ltd., Research Division",China
"China Government Securities Depository Trust & Clearing Co., Ltd.",China
China Great Wall Asset Management Corporation,China
"China Guangfa Bank Co., Ltd.",China
"China International Capital Corporation Limited, Research Division",China
China Market Research Group,China
"China Minzu Securities Co., Ltd., Research Division",China
China Renaissance Partners,China
"China Securities Research Co., Ltd",China
China Stock Research,China
China Xibolun Technology Holdings Corp.,China
Citibank (China) Co. Ltd.,China
"Citic Securities Co., Ltd., Research Division",China
"Credit Suisse Founder Securities Co., Ltd.",China
DBS Bank (China) Limited,China
"Essence Securities Co., Ltd., Research Division",China
First Sino Bank,China
FirsTrust China Ltd.,China
Gateway International Group Limited,China
GaveKal-Dragonomics Research,China
Gravity Group Asia Ltd.,China
"Great Wall Securities Co., Ltd.",China
"Great Wall Securities Co., Ltd., Research Division",China
"Guangxi Beibu Gulf Bank Co., Ltd.",China
Guangzhou Commercial Bank,China
"Guotai Junan Securities Co., Ltd., Research Division",China
"Haitong Securities Co., Ltd., Research Division",China
Hang Seng Bank (China) Limited,China
"Huaneng Capital Services Co., Ltd.",China
"Huarong Securities Co., Ltd., Research Division",China
J.P. Capital Limited,China
"JFP Holdings, Ltd.",China
"Minsheng Securities Co., Ltd., Research Division",China
Nanjing Securities Co. Ltd.,China
Ningbo Yinzhou Rural Cooperative Bank,China
OCBC Bank (China) Ltd,China
"Orient Securities Co. Ltd, Research Division",China
Roland Berger Strategy Consultants (Shanghai) Ltd.,China
"Shanghai Meihui Software Co., Ltd.",China
Shanghaivest Ltd.,China
"Shaoshan Everbright Village Bank Co., Ltd.",China
"Shenhua Finance Co., Ltd.",China
"SVB Business Partners (Beijing) Co., Ltd.",China
"SWS Research Co., Ltd.",China
"The Royal Bank of Scotland (China) Co., Ltd.",China
"TX Investment Consulting CO., Ltd.",China
"TX Investment Consulting Co., Ltd., Research Division",China
"Xinhua Holdings Limited, Research Division",China
Zhejiang Dadi Futures Co. Ltd.,China
"Zheshang Securities Co., Ltd., Research Division",China
"Acciones & Valores S.A., Research Division",Colombia
Banco Caja Social de Colombia,Colombia
Banco Colmena SA,Colombia
Grupo Factoring de Occidente S.A.S.,Colombia
bac&asociados S.A.,Costa-Rica
Capital Financial Advisors,Costa-Rica
Banque Atlantique Cote d'Ivoire S.A.,Cote-d-Ivoire
"SGI Hudson & Cie, Research Division",Cote-d-Ivoire
Auctor D.o.o.,Croatia
"Hypo Alpe-Adria-Bank d.d., Research Division",Croatia
"InterCapital LLP, Research Division",Croatia
"Raiffeisenbank Austria d.d. Zagreb, Research Division",Croatia
A.L. Prochoice Group Public Ltd.,Cyprus
Argus Stockbrokers Limited,Cyprus
eToro (Europe) Ltd.,Cyprus
"FM Insurance Advisors, Agents and Sub Agents Ltd.",Cyprus
