Investment Banking Name,Country
Sparekassen Fyn af 1846 A/S,Denmark
Sparekassen Vendsyssel,Denmark
"Sydbank A/S, Research Division",Denmark
Dominica Agricultural Industrial & Development Bank,Dominica
"Banco Multiple Leon, S.A.",Dominican-Republic
Republic Bank (DR) S.A.,Dominican-Republic
African Export-Import Bank,Egypt
Arabeya Online Brokerage,Egypt
Egyptian Emirates Brokerage Co. SAE,Egypt
HC Brokerage,Egypt
"HC Securities & Investment, Research Division",Egypt
ORACAP Holding Co.S.A.E.,Egypt
Banco Agricola S.A.,El-Salvador
"Banco Citibank de El Salvador, S.A.",El-Salvador
"Banco G&T Continental El Salvador, S.A.",El-Salvador
AS Thulema,Estonia
"Swedbank AS, Research Division",Estonia
Tallinna  Ñripanga AS,Estonia
Versobank AS,Estonia
Aito S § §st  pankki Oy,Finland
"Evli Bank plc, Research Division",Finland
FIM Investment Research,Finland
Hinnerjoen Osuuspankki,Finland
Iisalmen Osuuspankki,Finland
Kiukaisten Osuuspankki,Finland
Koillis-Savon Osuuspankki,Finland
Kortesj §rven S § §st  pankki,Finland
Kouvolan Seudun Osuuspankki,Finland
Lammin S § §st  pankki,Finland
Liedon S § §st  pankki,Finland
Oma S § §st  pankki Oy,Finland
Parkanon S § §st  pankki,Finland
"Pohjola Bank plc, Research Division",Finland
Pyh §laakson Osuuspankki,Finland
Salon Osuuspankki,Finland
Sampo Housing Loan Bank plc,Finland
Someron S § §st  pankki,Finland
Turun Seudun Osuuspankki Oy,Finland
Aixial Group,France
APTUS SA,France
"Arcade Conseil, SAS",France
Ark ©a Banque Entreprises et Institutionnels,France
Banque CIC Est S.A.,France
Banque du Groupe Casino SA,France
Banque Lehman Brothers S.A.,France
Banque Martin Maurel SA,France
Banque Marze SA,France
Banque Populaire Atlantique,France
Banque Populaire d'Alsace,France
"Banque Populaire du Nord, SA",France
Banque Populaire Loire et Lyonnais,France
Banque Tofinso,France
be you consulting SAS,France
BICS Banque Populaire,France
BPCE International et Outre-Mer SA,France
Caisse d'Epargne de Bourgogne Franche-comt ©,France
Caisse d'Epargne Rh ¥ne-Alpes Lyon,France
Caisse F ©d ©rale de Cr ©dit Mutuel,France
"Caisse F ©d ©rale du Cr ©dit Mutuel Nord Europe, SA",France
Caisse R ©gionale de la Charente Maritime et des Deux Sevres,France
Caisse R ©gionale du Cr ©dit Agricole du Sud-Ouest,France
Caisse R ©gionale du Finistere,France
Caisse R ©gionale Normandie,France
Caisse Regionale de Credit Agricole Mutuel du Nord Est,France
Caisse Regionale De Credit Maritime Mutuel Du Littoral Du Sud-Ouest,France
Chappuis Halder & Cie,France
CIC Iberbanco - S.A.,France
Coherus SAS,France
Cr ©dit Mutuel De Bretagne,France
Cybersearch SA,France
Eric Salmon & Partners,France
Est Ouest Conseils SARL,France
"Exane BNP Paribas, Research Division",France
Financi ®re Meeschaert SA,France
Fontenay Gestion SA,France
Gibory Consultant SAS,France
Groupe AFNOR,France
Groupe Banques Populaire,France
"HSBC Private Bank France, S.A.",France
Interactifs,France
Lazard Fr ®res Banque SA,France
MediCapital Finance,France
Metnext SAS,France
Natixis Inter ©pargne SA,France
Nomia SA,France
PlaNet Finance SA,France
Progress SA,France
Raymond James Euro Equities,France
Salans LLP,France
Soci ©t © Marseillaise de Cr ©dit Soci ©t © Anonyme,France
Sourcea.fr,France
Union de Banques Arabes et Francaises-UBAF,France
Viveo Banking & Finance Consulting SAS,France
Webcible S.A.R.L.,France
Union Gabonaise de Banque UGB Net,Gabon
"JSC Bank of Georgia, Research Division",Georgia
JSC BasisBank,Georgia
JSC Capital Bank,Georgia
JSC Progress Bank,Georgia
2iQ Research GmbH,Germany
ACON Actienbank AG,Germany
AKA Ausfuhrkredit GMBH,Germany
Angermann M&A International GmbH,Germany
Augsburger Aktienbank AG,Germany
Axxiome Deutschland GmbH,Germany
B ºrgschaftsbank Mecklenburg-Vorpommern GmbH,Germany
B ºrgschaftsbank Th ºringen GmbH,Germany
Baader Helvea Equity Research,Germany
"Baden Wuerttembergische Bank AG, Research Division",Germany
"Bank of Communications Co., Ltd. Frankfurt Branch",Germany
Bank Schilling & Co Aktiengesellschaft,Germany
Bankenvereinigung NRW e.V.,Germany
"Bankhaus Lampe KG, Research Division",Germany
Bankhaus Main AG,Germany
"Bayerische Landesbank, Research Division",Germany
"BHF-Bank Aktiengesellschaft, Research Division",Germany
Braunschweigische Landessparkasse,Germany
C.J. Diederich Wertpapierhandelsgesellschaft mbH,Germany
Clearstream Banking AG,Germany
Close Brothers Seydler Bank AG,Germany
Conmit Wertpapierhandelsbank AG,Germany
DB Consult GmbH,Germany
Dekabank Deutsche Girozentrale,Germany
Deutsche Bank Privat- Und Geschaftskunden AG,Germany
"Deutsche Postbank AG, Research Division",Germany
Deutsche WertpapierService Bank AG,Germany
DEWI Gmbh - Deutsches Windenergie-Institut,Germany
Die Sparkasse Bremen AG,Germany
Dortmunder Volksbank eG,Germany
Droege Group Internationale Unternehmer-Beratung,Germany
DZ Bank AG Fixed Income Research,Germany
"DZ Bank AG, Research Division",Germany
Europ §isch-Iranische Handelsbank AG,Germany
Fairesearch GmbH & Co KG,Germany
Fairtrade Finance AG,Germany
Frankfurter Bankgesellschaft (Deutschland) AG,Germany
"GarantiBank International N.V., Germany Branch",Germany
"GBC AG, Research Division",Germany
GEO-NET Umweltconsulting GmbH,Germany
h&z Unternehmensberatung AG,Germany
Hauck & Aufhauser Institutional Research AG,Germany
Helaba Trust Beratungs-und Management Gesellschaft mbH,Germany
HT1 Funding GmbH,Germany
HVB Corporates & Markets,Germany
Independent Research GmbH,Germany
Innovalue Management Partner GmbH,Germany
IntegraBank eG,Germany
Kasseler Sparkasse,Germany
Kokusai Europe GmbH,Germany
Kommalpha AG,Germany
Kreissparkasse Esslingen-N ºrtingen,Germany
Kreissparkasse G  ppingen e.V.,Germany
Kreissparkasse M ºnchen Starnberg Ebersberg,Germany
"Landesbank Baden-Wurttemberg, Fixed Income Research",Germany
Landesbank Berlin AG,Germany
"Landesbank Berlin Holding AG, Research Division",Germany
LBS Westdeutsche Landesbausparkasse,Germany
MainFirst Bank AG,Germany
MaschmeyerR ºrup AG,Germany
MATELAN Research GmbH,Germany
Merrill Lynch Bank AG,Germany
meteocontrol GmbH,Germany
MHB-Bank Aktiengesellschaft,Germany
Misr Bank - Europe GmbH,Germany
Mittelbrandenburgische Sparkasse In Potsdam,Germany
Morgan Stanley Bank AG,Germany
N.M. Fleischhacker AG,Germany
Nassauische Sparkasse,Germany
National-Bank AG,Germany
net-m privatbank 1891 AG,Germany
"Norddeutsche Landesbank Girozentrale, Research Division",Germany
Oekom Research AG,Germany
PATEV Associates GmbH,Germany
Pax-Bank eG,Germany
Procedera Consult GmbH,Germany
"Quirin Bank AG, Research Division",Germany
Research-Fellows,Germany
S ºdwestbank AG,Germany
Santander Consumer Bank AG,Germany
Schw §bisch Hall Kreditservice AG,Germany
Solventis Wertpapierhandelsbank GmbH,Germany
"Solventis Wertpapierhandelsbank GmbH, Research Division",Germany
Sparda-Bank West eG,Germany
Sparkasse Bad Neustadt a. d. Saale,Germany
Sparkasse Hilden-Ratingen-Velbert,Germany
Sparkasse Hildesheim,Germany
Sparkasse Krefeld,Germany
Sparkasse Leipzig,Germany
Sparkasse Oberlausitz-Niederschlesien,Germany
Sparkasse Oberpfalz Nord,Germany
Sparkasse Saarbrucken,Germany
Sparkasse Vest Recklinghausen,Germany
Sparkasse Wetzlar,Germany
Sparkassen- und Giroverband f ºr Schleswig-Holstein,Germany
Sparkassenverband Baden-W ºrttemberg,Germany
Sparkassenverband Bayern,Germany
Stadt- und Kreis-Sparkasse Darmstadt,Germany
Stadtsparkasse M ºnchen,Germany
Stadtsparkasse Wuppertal,Germany
SYRACOM AG,Germany
T úV Rheinland Group,Germany
TEMPTON Holding GmbH,Germany
TxB Transaktionsbank GmbH,Germany
UniCredit Research,Germany
Volksbank G ºtersloh eG,Germany
Volksbank Hellweg eG,Germany
Volksbank Kraichgau Wiesloch-Sinsheim eG,Germany
Volksbank Lahr eG,Germany
Volksbank Paderborn-H  xter-Detmold Eg,Germany
Volksbank Raiffeisenbank Bayern Mitte eG,Germany
Volksbank Worms-Wonnegau eG,Germany
VR Bank Main-Kinzig-B ºdingen eG,Germany
Weberbank Actiengesellschaft,Germany
Westdeutsche Kommunal Consult GmbH,Germany
"WGZ BANK AG Westdeutsche Genossenschafts-Zentralbank, Research Division",Germany
Agona Rural Bank Ltd.,Ghana
Alpha Finance AE,Greece
Bank of Cyprus Public Company Limited (Greece),Greece
Cooperative Bank Lesvos Limnos,Greece
Egnatia Securities,Greece
Eurobank Equities Investment Firm S.A.,Greece
"Hellenic Bank Public Company Ltd., Greece",Greece
"National Bank of Greece SA, Research Division",Greece
National Securities Company S.A.,Greece
"New Proton Bank S.A., Research Division",Greece
Panellinia Bank S.A.,Greece
Banco Reformador S.A.,Guatemala
"Banco del Pais, S.A.",Honduras
Banco Financiera Comercial Hondurena S.A.,Honduras
Grupo Financiero Ficohsa S.A.,Honduras
ABN AMRO Fund Services (Asia) Limited,Hong-Kong
Bangkok Bank Public Company Ltd. (Hong Kong),Hong-Kong
