Investment Banking Name,Country
Citigroup Global Markets Canada Inc.,Canada
Clarus Securities Inc.,Canada
Collins Barrow Corporate Finance Inc.,Canada
Cookson Walker Group,Canada
CoreWest Capital Inc.,Canada
Corplan Advisors Inc.,Canada
Courval Pontbriand Inc.,Canada
Crosbie & Company Inc.,Canada
Currie Advisory Group,Canada
D&D Securities Inc.,Canada
Davies & Co.,Canada
Deloitte & Touche Corporate Finance Canada Inc.,Canada
Devante Capital Inc.,Canada
DMCT LLP,Canada
DNA Capital Inc.,Canada
"Douglas Capital Inc., Investment Banking Arm",Canada
Duff & Phelps Canada Limited,Canada
Dumasbancorp ULC,Canada
Edgecrest Capital Corporation,Canada
Emesus Advisors Inc.,Canada
Endeavour Financial Corporation,Canada
Ernst & Young Orenda Corporate Finance Inc.,Canada
"Euro Pacific Canada, Inc.",Canada
"Evans & Evans, Inc.",Canada
Evergreen Financial Management Inc.,Canada
Fahnestock Canada Inc,Canada
First Republic Securities Corporation,Canada
FirstEnergy Capital Corp.,Canada
"Forbes & Manhattan, Inc.",Canada
Foundation Markets Inc.,Canada
Geneva Merger & Acquisition Services of Canada (Ont.) Inc.,Canada
Genoa Management Limited,Canada
Global Capital Partners Inc.,Canada
Global Public Affairs Inc.,Canada
Goldenmount Capital International Inc.,Canada
Gravitas Financial Inc.,Canada
Greenhill & Co. Canada Ltd.,Canada
GreenSky Capital Inc.,Canada
Griffiths McBurney L.P.,Canada
Gryphon Partners Canada Inc.,Canada
Haywood Securities Inc.,Canada
HDL Capital Corporation,Canada
HSBC Securities (Canada) Inc.,Canada
Hutton Capital Corporation,Canada
IBS Capital s.e.n.c.,Canada
"IJW & Co., Ltd.",Canada
Intrynsyc Capital Corporation,Canada
J.P. Morgan Securities Canada Inc.,Canada
Jacob Securities Inc.,Canada
Jennings Capital Inc.,Canada
"Jiaxin Consulting Group, Inc.",Canada
Kingsdale Capital Corporation,Canada
Knowledge Power Corporation,Canada
KV Corporate Finance Inc.,Canada
La Financiere du Qu ©bec,Canada
Lamerac Financial Corp.,Canada
Loewen & Partners Inc.,Canada
Low Rosen Taylor Soriano,Canada
M Partners Inc.,Canada
Mackie Research Capital Corporation,Canada
Mackie Research Financial Corporation,Canada
Macquarie North America Ltd.,Canada
Magellan Merchant Capital Inc.,Canada
Maison Placements Canada Inc.,Canada
Matrix Partners Inc.,Canada
Max Capital Markets Limited,Canada
McDougall Gauley,Canada
McInnes Cooper LLP,Canada
Mergerac Inc.,Canada
"Merrill Lynch Canada, Inc.",Canada
MGB Capital Inc.,Canada
MGI Securities Inc.,Canada
"Mina Mar Group, Inc.",Canada
MNP Corporate Finance Inc.,Canada
MNP LLP,Canada
MPA Morrison Park Advisors Inc.,Canada
"National Bank Financial, Inc.",Canada
NewPoint Capital Partners Inc.,Canada
Nextgrowth Group Inc.,Canada
NorCap Canada Ltd,Canada
NorthBrook Capital Corp.,Canada
NorthCrest Partners Inc.,Canada
Norton Rose Canada,Canada
Notre-Dame Capital Inc.,Canada
Nottingham Consulting Limited,Canada
Noverra Consulting & Capital Partners,Canada
Octagon Capital Corporation,Canada
Paradigm Capital Inc.,Canada
"Peters & Co., Limited",Canada
PI Financial Corp.,Canada
Power Budd LLP,Canada
Raymond James Ltd.,Canada
RBC Capital Markets LLC,Canada
RBC Rundle,Canada
Redtail Capital Partners Inc.,Canada
"Richter Consulting, Inc.",Canada
Royal Oak Corporation,Canada
Sandstone Merchant Capital Inc.,Canada
Schwaben Capital Group Limited,Canada
Schwartz Levitsky Feldman Ch.A.,Canada
Scotiabank Global Banking and Markets,Canada
SHI Capital,Canada
"Shone Capital Partners, Inc.",Canada
Smart CleanTech Partners,Canada
Solaris Capital Advisors Inc.,Canada
Solstice Financial Group Inc.,Canada
Spara Capital Partners Inc.,Canada
Stifel Nicolaus Canada Inc.,Canada
Stirling Mercantile Corporation,Canada
Sumex Inc.,Canada
Taluswood Capital Inc.,Canada
Tingle Merrett LLP,Canada
TSI Group Inc.,Canada
Ubequity Capital Partners Inc.,Canada
UBS Securities Canada Inc.,Canada
Virage Capital,Canada
Wellington West Capital Markets Inc.,Canada
Wellington West Holdings Inc.,Canada
WFT Corporate Finance and Valuations Limited,Canada
White Capital Corporation,Canada
Wildeboer Dellelce LLP,Canada
Windrock Associates,Canada
Wolrige Mahon LLP,Canada
Wolverton Capital Markets,Canada
Woodstone Capital Inc.,Canada
ZED Financial Partners,Canada
"Alpine Group, S.A.",Cayman-Islands
Banco Ita   Chile S.A.,Chile
BCI Asesor  a Financiera S.A.,Chile
Econsult Ltda.,Chile
Gerens S.A.,Chile
Tyndall Group,Chile
"Bank of Dalian Co., Ltd.",China
"Bank of Hangzhou Co., Ltd.",China
"Bank of Tianjin Co., Ltd.",China
"Beijing Rural Commercial Bank Co., Ltd.",China
"BNP Paribas China Co., Ltd.",China
Canaccord Genuity Asia Limited,China
Capital First Partners,China
China Academy of Financial Research,China
China Bridge Capital,China
China eCapital Corporation,China
China International Capital Corporation Limited,China
ChinaPlus Capital LLC,China
CVCapital,China
"Daton Securities Co., Ltd.",China
"Deutsche Bank (China) Co., Ltd.",China
"E. J. McKay & Co., Inc.",China
Emerging Asia Inc.,China
Ernst & Young Da Hua,China
"GF Securities Co. Ltd., Research Division",China
"Guosen Securities Co., Ltd.",China
"Hangzhou Industrial & Commercial Trust Co., Ltd.",China
"Hankou Bank Co., Ltd.",China
"Interchina Consulting Co., Ltd",China
JPMorgan Chase Bank (China) Company Limited,China
Morgan Stanley China,China
My Decker Capital,China
Orient Securities Company Limited,China
Ping An Bank,China
"Qilu Bank Co., Ltd.",China
Schmittzehe & Partners Ltd.,China
"Shenyin & Wanguo Securities Co., Ltd.",China
Zero2IPO Group,China
Agora Corporate Consultants Ltda.,Colombia
Axia IB S.A.S.,Colombia
Banco Colpatria Red Multibanca Colpatria S.A.,Colombia
C Kapital S.A.,Colombia
"Corredores Asociados S.A., Investment Banking Arm",Colombia
Development & Investment Consulting Group,Colombia
Global Securities S.A.,Colombia
Helm Bank S.A.,Colombia
Inverlink S.A.,Colombia
PENTA Asesor  as Financieras S.A.S.,Colombia
"Promotora, Investment Banking Arm",Colombia
Banco de Costa Rica,Costa-Rica
"Corporaci  n Davivienda (Costa Rica), S.A.",Costa-Rica
Mesoamerica,Costa-Rica
Perfil Financiero S.A.,Costa-Rica
SGI Hudson & Cie,Cote-d-Ivoire
Ascendant d.o.o.,Croatia
Centar Banka DD,Croatia
Erste and Steiermaerkische Bank D.D.,Croatia
FIMA InterCapital d.o.o.,Croatia
Raiffeisenbank Austria d.d.,Croatia
ABH Financial Limited,Cyprus
ABH Ukraine Limited,Cyprus
Cyprus Popular Bank Public Co Ltd,Cyprus
East Coast Financial Services Ltd,Cyprus
Laiki Financial Services Limited,Cyprus
RCB Bank Limited,Cyprus
Sharelink Securities and Financial Services Limited,Cyprus
The Cyprus Development Bank Public Company Limited,Cyprus
The Cyprus Investment and Securities Corporation Limited,Cyprus
