Investment Banking Name,Country
Juniper Capital Partners Limited,United-Kingdom
Katalyst Partners LLP,United-Kingdom
Katten Muchin Rosenman UK LLP,United-Kingdom
Landmarc Support Services Ltd.,United-Kingdom
Laven Legal Services Limited,United-Kingdom
Lexicon Partners Limited,United-Kingdom
Macfarlanes LLP,United-Kingdom
Marriott Harrison LLP,United-Kingdom
Meta Corporate Finance Limited,United-Kingdom
Methuselah Life Markets Limited,United-Kingdom
Momentum Group,United-Kingdom
Move2Mobile Limited,United-Kingdom
NB: Board Interim Ltd.,United-Kingdom
Noble Capital Ltd.,United-Kingdom
Oxbridge Capital Limited,United-Kingdom
P  yry Capital Limited,United-Kingdom
Peterhouse Corporate Finance Limited,United-Kingdom
PharmaVentures Ltd.,United-Kingdom
Pitmans SK Sport and Entertainment LLP,United-Kingdom
Rawlings Giles,United-Kingdom
Redmayne-Bentley LLP,United-Kingdom
Regent Partners LLP,United-Kingdom
Ruxley Ventures Ltd.,United-Kingdom
SB Capital Partners Limited,United-Kingdom
Screen Digest Limited,United-Kingdom
Sector Treasury Services Limited,United-Kingdom
Semple Fraser W.S.,United-Kingdom
Seymour Pierce Limited,United-Kingdom
Sheffield University Enterprises Ltd.,United-Kingdom
Sheridans,United-Kingdom
Sphere Partners Limited,United-Kingdom
Springboard Corporate Finance Limited,United-Kingdom
Stonehaven Ventures Limited,United-Kingdom
Sturgeon Ventures LLP,United-Kingdom
"Sun Global Investments Limited, Advisory Arm",United-Kingdom
Taylor & Emmet,United-Kingdom
Team Ventures Limited,United-Kingdom
The Ward Mitchell Partnership Ltd.,United-Kingdom
Thistle Initiatives Limited,United-Kingdom
Topjobs Net PLC,United-Kingdom
Tri-Artisan Partners Advisors Europe LLP,United-Kingdom
Tribal Helm,United-Kingdom
Trinity Group Limited,United-Kingdom
UCL Business PLC,United-Kingdom
Ventura Team LLP,United-Kingdom
Venture Alliance Corporate Finance Limited,United-Kingdom
Vintage Financial Ltd.,United-Kingdom
Wacks Caller,United-Kingdom
Walker Morris,United-Kingdom
Watson Burton,United-Kingdom
Westbourne Ventures Ltd.,United-Kingdom
WH Ireland (Financial Services) Limited,United-Kingdom
Workforce Bank Limited,United-Kingdom
Wyvern Partners Limited,United-Kingdom
ZAI Corporate Finance Limited,United-Kingdom
"151 Ventures, LLC",United-States-of-America
2nd Generation Capital LLC,United-States-of-America
"315 Ventures, Ltd.",United-States-of-America
"409Advisors, LLC",United-States-of-America
526 Ventures,United-States-of-America
"5iPrincipals Group, LLC",United-States-of-America
727 Communications Inc.,United-States-of-America
"Accelerate Partners, LLC",United-States-of-America
"Achelous Partners, LLC",United-States-of-America
"Acorn Technologies, Inc.",United-States-of-America
Acorn Transglobal,United-States-of-America
"Actavision Ventures, Inc.",United-States-of-America
"Adair Kaul Murphy Axelrod & Santoro, LLP",United-States-of-America
"Addison Group, LLC",United-States-of-America
Aegis Energy Advisors Corp.,United-States-of-America
AFE Consulting Inc.,United-States-of-America
"Affinity Ventures, Inc.",United-States-of-America
"Age Wave Productions, LLC",United-States-of-America
"Aktary Enterprises, LLC",United-States-of-America
Allegiance Capital Corporation,United-States-of-America
Allen & Company Incorporated,United-States-of-America
Allerton Heneghan & O’Neill,United-States-of-America
"Allison Johnson Venture Partners, Inc.",United-States-of-America
"AlphaCap Ventures, LLC",United-States-of-America
Alterlayer LLC,United-States-of-America
Alternative Capital Source LLC,United-States-of-America
"American Aerospace Advisors, Inc.",United-States-of-America
American Corporate Services. Inc.,United-States-of-America
American Property Tax Co.,United-States-of-America
"Americas Strategic Alliances, L.L.C.",United-States-of-America
"Amherst Partners, LLC",United-States-of-America
"AMT Management, Inc.",United-States-of-America
"Andrew Garrett, Inc.",United-States-of-America
Andrews Davis PC,United-States-of-America
Angstrom Partners LLC,United-States-of-America
Anthony Michael & Company,United-States-of-America
"AOC edentify services, LLC",United-States-of-America
APA Search Inc.,United-States-of-America
Apex Bioventures Acquisition Corporation,United-States-of-America
"Apio Partners, LLC",United-States-of-America
Appalachian Center for Economic Networks,United-States-of-America
"Aquarian Capital, LLC",United-States-of-America
Aquetong Capital Advisors,United-States-of-America
"Aquilo Partners, L.P.",United-States-of-America
"Archinoetics, LLC.",United-States-of-America
"Arctern, Inc.",United-States-of-America
"Argonaut Capital Advisors, LLC",United-States-of-America
"Arjuna Ventures, LLC",United-States-of-America
"Arnall Golden Gregory, LLP",United-States-of-America
Arrow Investments Inc. (Fund Placement Group),United-States-of-America
"Arthur Financial Services, LLC",United-States-of-America
ASAP Ventures LLC,United-States-of-America
"Ascot Chase, Inc.",United-States-of-America
ASERO Worldwide Inc.,United-States-of-America
Asgaard Capital LLC,United-States-of-America
"Ashton Stewart & Co., Inc.",United-States-of-America
Asia America Equity Exchange LLC,United-States-of-America
Asia Pacific Ventures Ltd.,United-States-of-America
"Asia Quest Ventures, Inc.",United-States-of-America
Astralis Group LLC,United-States-of-America
Atlantic Accord,United-States-of-America
